,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,
136,andaman-&-nicobar-islands,2021,2,744104,11278,28333852.06,"insert into top_trans values (136,'andaman-&-nicobar-islands',2021,2,744104,11278,28333852.0615934);"
137,andaman-&-nicobar-islands,2021,2,744211,10182,20377949.35,"insert into top_trans values (137,'andaman-&-nicobar-islands',2021,2,744211,10182,20377949.3460945);"
138,andaman-&-nicobar-islands,2021,2,744112,9635,21637658.17,"insert into top_trans values (138,'andaman-&-nicobar-islands',2021,2,744112,9635,21637658.1671996);"
139,andaman-&-nicobar-islands,2021,2,744301,8463,27666837.4,"insert into top_trans values (139,'andaman-&-nicobar-islands',2021,2,744301,8463,27666837.3968826);"
140,andaman-&-nicobar-islands,2021,3,744101,116324,388328168.8,"insert into top_trans values (140,'andaman-&-nicobar-islands',2021,3,744101,116324,388328168.763969);"
141,andaman-&-nicobar-islands,2021,3,744103,84790,246433385.8,"insert into top_trans values (141,'andaman-&-nicobar-islands',2021,3,744103,84790,246433385.8099);"
142,andaman-&-nicobar-islands,2021,3,744105,67257,185238368.5,"insert into top_trans values (142,'andaman-&-nicobar-islands',2021,3,744105,67257,185238368.476707);"
143,andaman-&-nicobar-islands,2021,3,744102,43850,131239564.2,"insert into top_trans values (143,'andaman-&-nicobar-islands',2021,3,744102,43850,131239564.169097);"
144,andaman-&-nicobar-islands,2021,3,744202,19088,48475163.57,"insert into top_trans values (144,'andaman-&-nicobar-islands',2021,3,744202,19088,48475163.5742931);"
145,andaman-&-nicobar-islands,2021,3,744107,16203,37962312.1,"insert into top_trans values (145,'andaman-&-nicobar-islands',2021,3,744107,16203,37962312.09641);"
146,andaman-&-nicobar-islands,2021,3,744104,14657,35301326.11,"insert into top_trans values (146,'andaman-&-nicobar-islands',2021,3,744104,14657,35301326.1144718);"
147,andaman-&-nicobar-islands,2021,3,744112,11565,28491553.61,"insert into top_trans values (147,'andaman-&-nicobar-islands',2021,3,744112,11565,28491553.61094);"
148,andaman-&-nicobar-islands,2021,3,744301,11553,43464511.05,"insert into top_trans values (148,'andaman-&-nicobar-islands',2021,3,744301,11553,43464511.051198);"
149,andaman-&-nicobar-islands,2021,3,744211,9655,19497765.26,"insert into top_trans values (149,'andaman-&-nicobar-islands',2021,3,744211,9655,19497765.2571405);"
150,andaman-&-nicobar-islands,2021,4,744101,165719,533026208,"insert into top_trans values (150,'andaman-&-nicobar-islands',2021,4,744101,165719,533026207.973179);"
151,andaman-&-nicobar-islands,2021,4,744103,121613,372243734.3,"insert into top_trans values (151,'andaman-&-nicobar-islands',2021,4,744103,121613,372243734.279856);"
152,andaman-&-nicobar-islands,2021,4,744105,95028,281223411.7,"insert into top_trans values (152,'andaman-&-nicobar-islands',2021,4,744105,95028,281223411.743505);"
153,andaman-&-nicobar-islands,2021,4,744102,58258,174623253.5,"insert into top_trans values (153,'andaman-&-nicobar-islands',2021,4,744102,58258,174623253.476533);"
154,andaman-&-nicobar-islands,2021,4,744211,27938,94222862.11,"insert into top_trans values (154,'andaman-&-nicobar-islands',2021,4,744211,27938,94222862.1072529);"
155,andaman-&-nicobar-islands,2021,4,744104,25662,69245386.08,"insert into top_trans values (155,'andaman-&-nicobar-islands',2021,4,744104,25662,69245386.0816525);"
156,andaman-&-nicobar-islands,2021,4,744202,21913,67790798.05,"insert into top_trans values (156,'andaman-&-nicobar-islands',2021,4,744202,21913,67790798.0484982);"
157,andaman-&-nicobar-islands,2021,4,744107,21397,52036030,"insert into top_trans values (157,'andaman-&-nicobar-islands',2021,4,744107,21397,52036029.9980372);"
158,andaman-&-nicobar-islands,2021,4,744112,18915,55448543.43,"insert into top_trans values (158,'andaman-&-nicobar-islands',2021,4,744112,18915,55448543.4336571);"
159,andaman-&-nicobar-islands,2021,4,744301,14553,47792330.7,"insert into top_trans values (159,'andaman-&-nicobar-islands',2021,4,744301,14553,47792330.7005009);"
160,andaman-&-nicobar-islands,2022,1,744101,209941,615978080.7,"insert into top_trans values (160,'andaman-&-nicobar-islands',2022,1,744101,209941,615978080.694485);"
